"Space ID: ""90181147772"":KKU-SAC	","Date	","Time	","Task name	","Duration(minutes)	",Baht,,,,,,
,"	29/09/24", 03:54,"	[BE] แก้ไขค้นหาข้อมูลไม่ได้ search แล้วข้อมูลที่ควรจะมี แต่ไม่ถูกส่งมา (เช็คทุกตารางที่มี search) และขอ paginate เส้น get /users/department Fix รอบ2","	7.27 minutes","	25.445 Baht",,,,,,
,"	29/09/24", 12:39,"	[BE] แก้ไขค้นหาข้อมูลไม่ได้ search แล้วข้อมูลที่ควรจะมี แต่ไม่ถูกส่งมา (เช็คทุกตารางที่มี search) และขอ paginate เส้น get /users/department Fix รอบ2","	39.73 minutes","	139.05499999999998 Baht",,,,,,
,"	29/09/24", 14:54,"	[BE] Redis storage","	60 minutes","	210 Baht",,,,,,
,"	29/09/24", 16:11,"	[BE] Redis storage","	76.63 minutes","	268.205 Baht",,,,,,
,"	29/09/24", 23:30,"	[BE] 1. เวลา updated_at ลืม +7 [ช้าง] 7. เช็คแจ้งเตือนเมล เข้าทุกคนที่เป็นเจ้าหน้าที่ (ต้องเข้าเมลเจ้าหน้าที่ที่ดูแลเอกสารนั้นๆ) [ช้าง]","	10 minutes","	35 Baht",,,,,,
,"	30/09/24", 00:43,"	[BE] 1. เวลา updated_at ลืม +7 [ช้าง] 7. เช็คแจ้งเตือนเมล เข้าทุกคนที่เป็นเจ้าหน้าที่ (ต้องเข้าเมลเจ้าหน้าที่ที่ดูแลเอกสารนั้นๆ) [ช้าง]","	72.37 minutes","	253.29500000000002 Baht",,,,,,
,"	03/10/24", 01:38,"	[BE] แก้งาน email ส่งกองพัฒไม่ได้ (Flow ไม่ถูกต้อง) และไฟล์พร้อมลายเซ็น อัพโหลดทับกันไม่ได้ และแก้บัคหลายๆอย่าง Deadline 10/3/2024","	430.78 minutes","	1507.73 Baht",,,,,,
,"	06/10/24", 05:50,"	[DevOps] On prd","	300 minutes","	1050 Baht",,,,,,
,"	06/10/24", 06:51,"	[DevOps] On prd","	60.53 minutes","	211.85500000000002 Baht",,,,,,
,"	06/10/24", 08:26,"	[DevOps] On prd","	58.34 minutes","	204.19 Baht",,,,,,
,"	09/10/24", 01:26,"	[DevOps] On prd","	63.74 minutes","	223.09 Baht",,,,,,
,"	09/10/24", 02:50,"	[DevOps] On prd","	84.35 minutes","	295.22499999999997 Baht",,,,,,
,"	09/10/24", 03:01,"	[DevOps] On prd","	10.39 minutes","	36.365 Baht",,,,,,
,"	10/10/24", 20:02,"	[DevOps] On prd","	126.54 minutes","	442.89000000000004 Baht",,,,,,
,"	10/10/24", 23:23,"	[DevOps] On prd","	200.65 minutes","	702.275 Baht",,,,,,
,"	10/10/24", 23:56,"	[DevOps] On prd","	32.95 minutes","	115.32500000000002 Baht",,,,,,
